case_id|page|lot|sell_order|type_prop|size1|size2|size3|price|tumbon|aumper|province|Law_Court_ID|deed_no|addrno|bit_time1|bit_time2|bit_time3|bit_time4|bit_time5|bit_time6|link|timestamp|lat|long|eva_unit
ผบ.96/2564|1/1|นนทบุรี 10/2565 - 1|8 - 1|ห้องชุด|0|0|30.59|1630447.0|บางเขน|เมืองนนทบุรี|นนทบุรี|101|156,120574,120575,120576,241627,241628,241629,241630,241631,241632|151/193|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.96&law_suit_year=2564&Law_Court_ID=101&deed_no=156,120574,120575,120576,241627,241628,241629,241630,241631,241632&addrno=151/193|2022-02-20 04:00:22.270263|13.84447182|100.52832714|
ผบ.253/2559|1/2|นนทบุรี 10/2565 - 1|19 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|20.0|621295.0|บางตลาด|ปากเกร็ด(ตลาดขวัญ)|นนทบุรี|121|12462|40/5|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.253&law_suit_year=2559&Law_Court_ID=121&deed_no=12462&addrno=40/5|2022-02-20 04:00:24.229573|13.88736292|100.52218151|
ผบ.1011/2562|1/3|นนทบุรี 10/2565 - 1|21 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|35.6|2139800.0|บางแม่นาง|บางใหญ่|นนทบุรี|101|58211|89/103|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1011&law_suit_year=2562&Law_Court_ID=101&deed_no=58211&addrno=89/103|2022-02-20 04:00:25.712786|13.85773623|100.3970702|
ผบ.1193/2562|1/4|นนทบุรี 10/2565 - 1|22 - 1|ห้องชุด|0|0|26.49|1880790.0|เสาธงหิน|บางใหญ่|นนทบุรี|313|105540|188/123|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1193&law_suit_year=2562&Law_Court_ID=313&deed_no=105540&addrno=188/123|2022-02-20 04:00:27.402697|13.87773351|100.41387447|
ผบ.2843/2562|1/5|นนทบุรี 10/2565 - 1|23 - 1|ห้องชุด|0|0|31.79|365585.0|บางใหญ่|บางใหญ่|นนทบุรี|121|97690,97691,97693,97696,97697,97699,97701|89/28|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2843&law_suit_year=2562&Law_Court_ID=121&deed_no=97690,97691,97693,97696,97697,97699,97701&addrno=89/28|2022-02-20 04:00:29.293760|13.84383142|100.38935606|
ผบ.127/2564|1/6|นนทบุรี 10/2565 - 1|24 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|36.1|2181700.0|บางคูรัด|บางบัวทอง|นนทบุรี|121|178769|85/13|1  07/04/2565 ถอนการยึด 07/04/2565|2  28/04/2565 ถอนการยึด 28/04/2565|3  19/05/2565 ถอนการยึด 19/05/2565|4  09/06/2565 ถอนการยึด 09/06/2565|5  30/06/2565 ถอนการยึด 30/06/2565|6  21/07/2565 ถอนการยึด 21/07/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.127&law_suit_year=2564&Law_Court_ID=121&deed_no=178769&addrno=85/13|2022-02-20 04:00:30.760623|13.91701645|100.37093729|
ผบ.17106/2562|1/7|นนทบุรี 10/2565 - 1|25 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|20.0|912800.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|121|156085|99/147|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.17106&law_suit_year=2562&Law_Court_ID=121&deed_no=156085&addrno=99/147|2022-02-20 04:00:31.924000|13.90981308|100.39962811|
ผบE.600/2563|1/8|นนทบุรี 10/2565 - 1|26 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|18.0|1221600.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|121|84020|300/701|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BAE.600&law_suit_year=2563&Law_Court_ID=121&deed_no=84020&addrno=300/701|2022-02-20 04:00:33.258547|13.89532544|100.42636419|
ผบ.1676/2563|1/9|นนทบุรี 10/2565 - 1|27 - 1|ห้องชุด|0|0|25.92|1384128.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|101|3040,185332,185333,185334,185335,185336|129/163|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1676&law_suit_year=2563&Law_Court_ID=101&deed_no=3040,185332,185333,185334,185335,185336&addrno=129/163|2022-02-20 04:00:34.292260|13.88808398|100.41093399|
พ.3050/2562|1/10|นนทบุรี 10/2565 - 1|28 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|16.0|3711600.0|ท่าทราย|เมืองนนทบุรี(ตลาดขวัญ)|นนทบุรี|101|20720|128/37|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BE.3050&law_suit_year=2562&Law_Court_ID=101&deed_no=20720&addrno=128/37|2022-02-20 04:00:35.978304|13.88453471|100.51260903|
